team_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
67,Boston College,,Kayla Rolph,Freshman,"Great Falls, Va.",The Potomac School,,6' 2'' ,F,23,https://bceagles.com/sports/womens-basketball/roster/kayla-rolph/25774,2025-26
67,Boston College,,Kiera Edmonds,R-So,"Brooklyn, N.Y.",Brooklyn & Law Tech,,6' 2'' ,F,24,https://bceagles.com/sports/womens-basketball/roster/kiera-edmonds/25775,2025-26
67,Boston College,,Kennedy Hall,Freshman,"Indian Head, Md.",Westtown School,,6' 3'' ,F,31,https://bceagles.com/sports/womens-basketball/roster/kennedy-hall/25771,2025-26
528,Oregon State,,Tiara Bolden,Gr.,"Eugene, Ore.",,,5' 11'',Guard,0,https://osubeavers.com/sports/womens-basketball/roster/tiara-bolden/11469,2025-26
528,Oregon State,,Kennedie Shuler,Jr.,"Gresham, Ore.",,,5' 10'',Guard,1,https://osubeavers.com/sports/womens-basketball/roster/kennedie-shuler/11475,2025-26
528,Oregon State,,Katelyn Field,Fr.,"Melbourne, Australia",,,5' 11'',Guard,2,https://osubeavers.com/sports/womens-basketball/roster/katelyn-field/11481,2025-26
528,Oregon State,,Jenna Villa,Jr.,"Arlington, Wash.",,,6' 1'',Guard,3,https://osubeavers.com/sports/womens-basketball/roster/jenna-villa/11478,2025-26
528,Oregon State,,Ally Schimel,So.,"Corbett, Ore.",,,5' 10'',Guard,4,https://osubeavers.com/sports/womens-basketball/roster/ally-schimel/11473,2025-26
528,Oregon State,,Lucia Navarro,Jr.,"Valencia, Spain",,,6' 0'',Guard,7,https://osubeavers.com/sports/womens-basketball/roster/lucia-navarro/11472,2025-26
528,Oregon State,,Susana Yepes,R-Sr.,"Medellin, Colombia",,,6' 0'',Forward,10,https://osubeavers.com/sports/womens-basketball/roster/susana-yepes/11477,2025-26
528,Oregon State,,Mackenzie Shivers,R-Jr.,"Mesa, Ariz.",,,5' 6'',Guard,12,https://osubeavers.com/sports/womens-basketball/roster/mackenzie-shivers/11474,2025-26
528,Oregon State,,Lizzy Williamson,Gr.,"Adelaide, Australia",,,6' 5'',Forward,15,https://osubeavers.com/sports/womens-basketball/roster/lizzy-williamson/11482,2025-26
528,Oregon State,,Elisa Mehyar,So.,"Copenhagen, Denmark",,,6' 5'',Forward,16,https://osubeavers.com/sports/womens-basketball/roster/elisa-mehyar/11471,2025-26
528,Oregon State,,Keira Lindemans,Fr.,"Melbourne, Australia",,,6' 0'',Guard,25,https://osubeavers.com/sports/womens-basketball/roster/keira-lindemans/11480,2025-26
528,Oregon State,,Catarina Ferreira,Gr.,"Sao Paulo, Brazil",,,6' 0'',Guard,30,https://osubeavers.com/sports/womens-basketball/roster/catarina-ferreira/11470,2025-26
528,Oregon State,,Cloe Vecina,So.,"Vigo, Spain",,,5' 8'',Guard,31,https://osubeavers.com/sports/womens-basketball/roster/cloe-vecina/11476,2025-26
528,Oregon State,,Lara Alonso-Basurto,Fr.,"Madrid, Spain",,,6' 3'',Forward,32,https://osubeavers.com/sports/womens-basketball/roster/lara-alonsobasurto/11586,2025-26
528,Oregon State,,Néné Sow,R-Sr.,"Brussels, Belgium",,,6' 8'',Center,32,https://osubeavers.com/sports/womens-basketball/roster/nn-sow/11479,2025-26
14927,Belmont,4612,Tuti Jones,Graduate Student,"Troy, Ala.",Charles Henderson HS,,"5'7""",G,0,https://www.belmontbruins.com/sports/womens-basketball/roster/tuti-jones/4612,2025-26
14927,Belmont,4609,Kensley Feltner,Junior,"Louisa, Ky.",Lawrence County HS,,"5'11""",G,1,https://www.belmontbruins.com/sports/womens-basketball/roster/kensley-feltner/4609,2025-26
14927,Belmont,4617,Dacarra Ward,Freshman,"Memphis, Tenn.",Bartlett HS,,"6'2""",F,3,https://www.belmontbruins.com/sports/womens-basketball/roster/dacarra-ward/4617,2025-26
14927,Belmont,4614,Sanaa Tripp,Sophomore,"Covington, Ga.",Newton HS,,"5'8""",G,5,https://www.belmontbruins.com/sports/womens-basketball/roster/sanaa-tripp/4614,2025-26
14927,Belmont,4611,Claire Hyde,Redshirt Junior,"Wheaton, Ill.",Wheaton North HS,Morton College,"5'6""",G,7,https://www.belmontbruins.com/sports/womens-basketball/roster/claire-hyde/4611,2025-26
14927,Belmont,4610,Hilary Fuller,Sophomore,"Brisbane, Queensland, Australia",All Hallows' School,,"6'2""",F,9,https://www.belmontbruins.com/sports/womens-basketball/roster/hilary-fuller/4610,2025-26
14927,Belmont,4616,Kate McGinnis,Freshman,"Kimberly, Wis.",Kimberly HS,,"5'9""",G,12,https://www.belmontbruins.com/sports/womens-basketball/roster/kate-mcginnis/4616,2025-26
14927,Belmont,4620,Avery Strickland,Graduate Student,"Knoxville, Tenn.",Farragut HS,Tennessee,"5'10""",G,13,https://www.belmontbruins.com/sports/womens-basketball/roster/avery-strickland/4620,2025-26
14927,Belmont,4615,Rylie Beers,Freshman,"Littleton, Colo.",Valor Christian HS,,"6'0""",G,15,https://www.belmontbruins.com/sports/womens-basketball/roster/rylie-beers/4615,2025-26
14927,Belmont,4619,Tatum Woodson,Freshman,"Minnetonka, Minn.",Hopkins HS,,"5'10""",G,20,https://www.belmontbruins.com/sports/womens-basketball/roster/tatum-woodson/4619,2025-26
14927,Belmont,4613,Emily La Chapell,Senior,"Appleton, Wis.",Appleton East HS,Marquette,"5'11""",G,21,https://www.belmontbruins.com/sports/womens-basketball/roster/emily-la-chapell/4613,2025-26
14927,Belmont,4608,Quinn Eubank,Sophomore,"Union, Ky.",Ryle HS,,"6'0""",G,22,https://www.belmontbruins.com/sports/womens-basketball/roster/quinn-eubank/4608,2025-26
14927,Belmont,4607,Jailyn Banks,Junior,"Spring Hill, Tenn.",Middle Tennessee Christian School,,"5'9""",G,23,https://www.belmontbruins.com/sports/womens-basketball/roster/jailyn-banks/4607,2025-26
14927,Belmont,4621,KK Brodie,Junior,"Columbia, Mo.",Rock Bridge HS,Pepperdine,"6'3""",C,33,https://www.belmontbruins.com/sports/womens-basketball/roster/kk-brodie/4621,2025-26
14927,Belmont,4618,Leah West,Freshman,"Greensburg, Ind.",Greensburg Community HS,,"6'1""",F,55,https://www.belmontbruins.com/sports/womens-basketball/roster/leah-west/4618,2025-26
596,St. Bonaventure,6523,Diamond Fields,Freshman,"Bronx, N.Y.",Monsignor Scanlan,,"5'9""",G,0,https://www.gobonnies.com/sports/womens-basketball/roster/diamond-fields/6523,2025-26
596,St. Bonaventure,6461,Mackenzie Pettinelli,Sophomore,"Collegeville, Pa.",Spring-Ford,,"5'10""",G,1,https://www.gobonnies.com/sports/womens-basketball/roster/mackenzie-pettinelli/6461,2025-26
596,St. Bonaventure,6524,Kaylee Krysztof,Junior,"Buffalo, N.Y.",Depew,Binghamton,"5'9""",G,2,https://www.gobonnies.com/sports/womens-basketball/roster/kaylee-krysztof/6524,2025-26
596,St. Bonaventure,6525,Mallory Heise,Freshman,"Hilton, N.Y.",Hilton,,"5'7""",G,4,https://www.gobonnies.com/sports/womens-basketball/roster/mallory-heise/6525,2025-26
596,St. Bonaventure,6526,Aaliyah Parker,Graduate Student,"Cheektowaga, N.Y.",Cardinal O'Hara,Niagara,"5'9""",G,5,https://www.gobonnies.com/sports/womens-basketball/roster/aaliyah-parker/6526,2025-26
596,St. Bonaventure,6460,Mya Davidson,Redshirt Junior,"Rockford, Ill.",Harlem,Three Rivers Community College,"6'2""",F,10,https://www.gobonnies.com/sports/womens-basketball/roster/mya-davidson/6460,2025-26
596,St. Bonaventure,6527,Ivona Djikanovic,Freshman,"Belgrade, Serbia",AZ Compass Prep,,"6'0""",G,12,https://www.gobonnies.com/sports/womens-basketball/roster/ivona-djikanovic/6527,2025-26
596,St. Bonaventure,6462,Gabby Robinson Forde,Senior,"Brampton, Ontario",Turner Fenton Secondary,Gulf Coast State,"6'2""",F,14,https://www.gobonnies.com/sports/womens-basketball/roster/gabby-robinson-forde/6462,2025-26
596,St. Bonaventure,6529,Kylie Buckley,Junior,"Livonia, N.Y.",Livonia,Oakland,"6'0""",F,15,https://www.gobonnies.com/sports/womens-basketball/roster/kylie-buckley/6529,2025-26
596,St. Bonaventure,6530,Olivia DiFranco,Sophomore,"Elyria, Ohio",Midview,Eastern Michigan,"5'10""",G,22,https://www.gobonnies.com/sports/womens-basketball/roster/olivia-difranco/6530,2025-26
596,St. Bonaventure,6531,Brianna Barr-Buday,Freshman,"Grand Island, N.Y.",Nichols School,,"6'2""",F,23,https://www.gobonnies.com/sports/womens-basketball/roster/brianna-barr-buday/6531,2025-26
596,St. Bonaventure,6532,Laycee Drake,Graduate Student,"Hancock, N.Y.",Hancock,UAlbany,"5'6""",G,24,https://www.gobonnies.com/sports/womens-basketball/roster/laycee-drake/6532,2025-26
596,St. Bonaventure,6533,Elyse MacDonough,Freshman,"South Burlington, Vt.",Worcester Academy,,"5'8""",G,30,https://www.gobonnies.com/sports/womens-basketball/roster/elyse-macdonough/6533,2025-26
596,St. Bonaventure,6528,Iva Corluka,Freshman,"Ardsley, N.Y.",Ardsley,,"6'1""",F,33,https://www.gobonnies.com/sports/womens-basketball/roster/iva-corluka/6528,2025-26
596,St. Bonaventure,6534,Brillana Boyd,Junior,"Redondo, Calif.",Redondo Union,Long Beach City College,"5'10""",F,44,https://www.gobonnies.com/sports/womens-basketball/roster/brillana-boyd/6534,2025-26
107,California,26356,Mjracle Sheppard,Junior,"Kent, WA",Montverde Academy,,"5'10""",G,1,https://www.calbears.com/sports/womens-basketball/roster/mjracle-sheppard/26356,2025-26
107,California,26359,Taylor Barnes,Freshman,"Grand Prairie, TX",South Grand Prairie High School,,"6'0""",F,3,https://www.calbears.com/sports/womens-basketball/roster/taylor-barnes/26359,2025-26
107,California,26350,Lola Donez,Sophomore,"Lahaina, HI",Lahainaluna HS,,"5'11""",G,5,https://www.calbears.com/sports/womens-basketball/roster/lola-donez/26350,2025-26
107,California,26361,Isis Johnson-Musah,Freshman,"Detroit, MI",Detroit Edison Academy,,"5'10""",G,6,https://www.calbears.com/sports/womens-basketball/roster/isis-johnson-musah/26361,2025-26
107,California,26354,Lulu Twidale,Junior,"Sunshine Coast, Queensland, Australia",Siena Catholic College,,"5'10""",G,10,https://www.calbears.com/sports/womens-basketball/roster/lulu-twidale/26354,2025-26
107,California,26360,Grace McCallop,Freshman,"Shawnee Mission, KS",Bishop Miege High School,,"5'10""",G,12,https://www.calbears.com/sports/womens-basketball/roster/grace-mccallop/26360,2025-26
107,California,26357,Naya Ojukwu,Sophomore,"Meridian, ID",Mountain View High School,,"6'1""",F,13,https://www.calbears.com/sports/womens-basketball/roster/naya-ojukwu/26357,2025-26
107,California,26353,Gisella Maul,Junior,"Cedar Park, TX",Cedar Park HS,,"5'11""",G,21,https://www.calbears.com/sports/womens-basketball/roster/gisella-maul/26353,2025-26
107,California,26352,Claudia Langarita,Graduate Student,"Barcelona, Spain",Segle XXI,,"6'4""",F,22,https://www.calbears.com/sports/womens-basketball/roster/claudia-langarita/26352,2025-26
